"English","Welsh"
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be so as we increase the use of audio and video technology.

Dispute Resolution Hearings are not attended hearings for the purpose of Practice Direction 4C. Requests to observe any other hearing should be made to:

[xxx] [xxx]

Judges will have regard to the principles of open justice when considering the use of telephone and video technology. Observers may be excluded where necessary to secure the proper administration of justice.","Mae cyfiawnder agored yn egwyddor sylfaenol yng nghyfundrefn y llysoedd a'r tribiwnlysoedd, a bydd yn dal i fod felly wrth i'r defnydd o dechnoleg sain a fideo gynyddu.    

Nid yw gwrandawiadau datrys anghydfod yn wrandawiadau a fynychir i ddibenion Cyfarwyddyd Ymarfer 4C. Dylid gwneud cais i arsylwi unrhyw wrandawiad arall i:

[xxx] [xxx]

Bydd barnwyr yn ystyried egwyddorion cyfiawnder agored wrth ystyried defnyddio technoleg ff'n a fideo. Geill y bydd arsylwyr yn cael eu heithrio pan fo hynny'n angenrheidiol i sicrhau gweinyddu cyfiawnder yn iawn."
"Open justice is a fundamental principle of our justice system. You can attend a public hearing in person or you can apply for permission to observe remotely. 
Requests to observe remotely a hearing that is taking place at X should be made in good time direct to: [email] or by calling [phone number]. You may be asked to provide further details.
The judge hearing the case will decide if it is appropriate for you to observe remotely. They will have regard to the interests of justice, the technical capacity for remote observation and what is necessary to secure the proper administration of justice.
Sometimes it is necessary for hearings to be held in private and you will not be able to observe remotely or in person. Members of the press are able to attend some private hearings.
For more information, please visit https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing.","Mae cyfiawnder agored yn un o egwyddorion sylfaenol ein system gyfiawnder. Gallwch fynd i  wrandawiad cyhoeddus yn bersonol, neu gallwch wneud cais am ganiat'd i arsylwi o bell. 
Dylid gwneud ceisiadau i arsylwi gwrandawiad o bell sy'n digwydd yn X mewn da bryd yn uniongyrchol i: [e-bost] neu drwy ffonio [rhif ffôn]. Efallai y gofynnir i chi roi rhagor o fanylion.
Bydd y barnwr sy'n gwrando'r achos yn penderfynu a yw'n briodol i chi arsylwi o bell. Bydd yn ystyried lles cyfiawnder, y gallu technegol ar gyfer arsylwi o bell a'r hyn sy'n angenrheidiol i sicrhau gweinyddu cyfiawnder yn briodol.
Weithiau mae'n angenrheidiol cynnal gwrandawiadau yn breifat ac ni fyddwch yn gallu arsylwi o bell nac wyneb yn wyneb. Mae aelodau o'r wasg yn gallu mynychu rhai gwrandawiadau preifat.
Am fwy o wybodaeth, ewch i https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing."
"Oxford Combined Court Centre","Canolfan Llysoedd Cyfun Rhydychen"
"Page not found
You have attempted to view a page that no longer exists. This could be because the publication you are trying to view has expired.
Please click home to navigate to the start of the service.","Heb ddod o hyd i'r dudalen
Rydych wedi ceisio gweld tudalen nad yw'n bod mwyach. Efallai bod y cyhoeddiad yr ydych yn ceisio ei weld wedi dod i ben.
Cliciwch ar y botwm cartref i ddychwelyd i'r dechrau."
"Panel","Panel"
"Party name(s)","Enw'r parti (part'on)"
"Password","Cyfrinair"
"Password does not match required format.","Nid yw'r cyfrinair yn cyd-fynd 'r fformat angenrheidiol."
"Password unchanged","Cyfrinair heb ei newid"
"Plea","Ple"
"Please click here to sign in or close this session","Cliciwch yma i fewngofnodi neu i ddod 'r sesiwn hon i ben"
"Please enter a minimum of 3 characters","Nodwch o leiaf 3 nod"
"Please enter either a case reference number, case ID or unique reference number (URN). You must enter an exact match.","Rhowch gyfeirnod yr achos, ID yr achos neu gyfeirnod unigryw (URN). Mae'n rhaid ichi nodi'r union gyfeirnod neu ID."
"Please enter your Email Address","Rhowch eich cyfeiriad e-bost"
"Please enter your password","Rhowch eich cyfrinair"
"Please note: There are two hearing lists available for this date, please make sure you look at both lists to see all hearings happening on this date for this location.","Sylwer: Mae dwy restr wrandawiadau ar gael ar gyfer y dyddiad hwn, gwnewch yn siŵr eich bod yn edrych ar y ddwy restr i weld yr holl wrandawiadau sy'n digwydd ar y dyddiad hwn ar gyfer y lleoliad hwn."
"Please note: There may be two hearing lists available for this date, please make sure you look at both lists to see all hearings happening on this date for this location.","Sylwer: Efallai y bydd dwy restr wrandawiadau ar gael ar gyfer y dyddiad hwn, gwnewch yn siŵr eich bod yn edrych ar y ddwy restr i weld yr holl wrandawiadau sy'n digwydd ar y dyddiad hwn ar gyfer y lleoliad hwn."
"Please provide a correct case name","Darparwch enw cywir ar gyfer yr achos"
"Please provide a correct party name","Rhowch enw parti cywir"
"Please provide the following details.","Rhowch y manylion canlynol."
"Please select an option","Dewiswch opsiwn os gwelwch yn dda"
"Please tell us how you would like to add a subscription","Dywedwch wrthym sut yr hoffech ychwanegu tanysgrifiad"
"Please tell us how you would like to add a subscription","Dywedwch wrthym sut yr hoffech ychwanegu tanysgrifiad"
"Postcode","Cod post"
"Primary Health","Iechyd Sylfaenol"
"Primary Health Tribunal Hearing List","Rhestr Gwrandawiadau'r Tribiwnlys Iechyd Sylfaenol"
"Prosecuting Authority","Math o restr"
"Prosecuting Authority","Yr Awdurdod sy'n Erlyn"
"Prosecutor","Erlynydd"
"Public Court List For","Rhestr Gyhoeddus y Llys ar gyfer"
"Publication","Cyhoeddiad"
"Publication date","Dyddiad cyhoeddi"
"Purpose","Pwrpas"
"Reading County Court and Family Court","Llys Sirol a Llys Teulu Reading"
"Reference","Cyfeirnod"
"Reference number","Cyfeirnod"
"Region","Rhanbarth"
"Regional Lead Judge","Barnwr Arweiniol Rhanbarthol"
"Remove","Dileu"
"Remove another file","Dileu ffeil arall"
"Remove List Search","Dileu'r chwiliad o'r rhestr"
"Remove List Summary","Dileu'r crynodeb o'r rhestr"
"Rep","Cynrychiolydd"
"Reporting Restriction","Cyfyngiad adrodd"
"Represented by","Cynrychiolir gan"
"Respondent","Atebydd"
"Restrictions on publishing or writing about these cases
You must check if any reporting restrictions apply before publishing details on any of the cases listed here either in writing, in a broadcast or by internet, including social media.

You'll be in contempt of court if you publish any information which is protected by a reporting restriction. You could get a fine, prison sentence or both.
Specific restrictions ordered by the court will be mentioned on the cases listed here.

However, restrictions are not always listed. Some apply automatically. For example, anonymity given to the victims of certain sexual offences.

To find out which reporting restrictions apply on a specific case, contact:
	the court directly
	HM Courts and Tribunals Service on 0330 808 4407
You can also read the reporting restrictions guide","Cyfyngiadau ar gyhoeddi neu ysgrifennu am yr achosion hyn.
Rhaid i chi wirio a oes unrhyw gyfyngiadau riportio yn berthnasol cyn cyhoeddi manylion am unrhyw un o'r achosion a restrir yma, naill ai'n ysgrifenedig, mewn darllediad neu ar y rhyngrwyd, gan gynnwys y cyfryngau cymdeithasol.

Byddwch yn euog o ddirmyg llys os byddwch yn cyhoeddi unrhyw wybodaeth sydd wedi'i diogelu gan gyfyngiad riportio. Gallwch gael dirwy, eich dedfrydu i garchar, neu'r ddau.
Bydd cyfyngiadau penodol a orchmynnir gan y llys yn cael eu crybwyll ar yr achosion a restrir yma.

Fodd bynnag, nid yw'r cyfyngiadau bob amser yn cael eu rhestru. Mae rhai yn berthnasol yn awtomatig. Er enghraifft, anhysbysrwydd a roddir i ddioddefwyr rhai troseddau rhywiol.

I ganfod pa gyfyngiadau riportio sy'n berthnasol ar achos penodol, cysylltwch 'r:
 llys yn uniongyrchol
 Gwasanaeth Llysoedd a Thribiwnlysoedd EM ar 0330 808 4407
Gallwch hefyd ddarllen y canllaw ar gyfyngiadau riportio"
"result(s)","ganlyniad(au)"
"result(s) successfully found","Wedi dod i hyd i ganlyniad(au)"
"Save your file somewhere you can find it. You may need to print it or show it to someone later.","Arbedwch eich ffeil yn rhywle y gellir cael hyd iddi. Efallai y bydd arnoch angen ei hargraffu neu ei dangos i rywun yn nes ymlaen."
"Scottish Courts website","gwefan Llysoedd Yr Alban"
"Search by court or tribunal name","Chwilio yn 'l enw'r llys neu dribiwnlys"
"Search by court or tribunal name","Chwilio yn 'l enw'r llys neu dribiwnlys"
"Search Cases","chwilio achosion"
"Search filters","Ffilteri chwilio"
"Search result","Canlyniad chwilio"
"Search result","Canlyniadau'r chwiliad"
"Search result","Canlyniad y chwilio"
"Select","Dewis"
"Select a Result","Dewiswch Ganlyniad"
"Select content to remove","Dewis cynnwys i'w ddileu"
"Select List Types","Dewis Mathau o Restri"
"Select the list you want to view from the links below:","Dewiswch y rhestr rydych chi eisiau ei gweld o'r dolenni isod:"
"Select which list types to receive","Dewiswch pa fath o restri yr hoffech gael"
"selected","Wedi'i ddewis"
"Selected filter","Ffiltyr a ddewiswyd"
"Send new code","Anfon cod newydd"
"Send verification code","Anfon cod dilysu"
"September","Medi"
"Session","Sesiwn"
"Show","Dangos"
"Show all sections","Dangos pob adran"
"Show Filters","Dangos y ffiltrau"
"Showing","Dangos"
"Sign in","Mewngofnodi"
"Sign in failed

You have attempted to sign in as a member of HMCTS staff.

Please always sign in using the following link below to sign in with your court and tribunal hearings account.

https://www.court-tribunal-hearings.service.gov.uk/sign-in","Ni lwyddwyd i fewngofnodi

Rydych wedi ceisio mewngofnodi fel aelod o staff GLlTEF.

Defnyddiwch y ddolen isod i fewngofnodi i'ch cyfrif gwrandawiadau'r llysoedd a'r tribiwnlysoedd.

https://www.court-tribunal-hearings.service.gov.uk/sign-in"
"Sign in with a Court and tribunal hearing account","Mewngofnodi gyda chyfrif gwrandawiadau Llys a Thribiwnlys"
"Sign in with a Court and tribunal hearings account","Mewngofnodi gyda chyfrif gwrandawiadau llys a thribiwnlys"
"Sign in with your email address","Mewngofnodi gyda'ch cyfeiriad e-bost"
"Sign out","Allgofnodi"
"Sincerely,","Yn gywir,"
"Single Justice Procedure","Gweithdrefn Un Ynad"
"Single Justice Procedure cases","Achosion Gweithdrefn Un Ynad"
"Single Justice Procedure cases","Achosion Gweithdrefn Un Ynad"
"Single Justice Procedure cases - Press view","Achosion Gweithdrefn Un Ynad - Golwg i'r Wasg"
"Single Justice Procedure cases that are ready for hearing","Achosion Gweithdrefn Un Ynad sy'n barod ar gyfer gwrandawiad"
"Single Justice Procedure Press List","Rhestr y Wasg Y Weithdrefn Un Ynad"
"Single Justice Procedure Press Register","Cofrestr y Wasg Y Weithdrefn Un Ynad"
"Single Justice Procedure Public List","Rhestr Gyhoeddus Y Weithdrefn Un Ynad"
"Sitting at","Yn eistedd yn"
"Slough County Court and Family Court","Llys Sirol a Llys Teulu Slough"
"Social Security and Child Support Tribunal Daily List","Rhestr Ddyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant"
"Social Security and Child Support Tribunal Daily List - Additional Hearings","Rhestr Ddyddiol y Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant - Gwrandawiadau Ychwanegol"
"Solicitors and other legal professionals are the only users allowed to sign in with a MyHMCTS account. For more information about MyHMCTS the link below:","Cyfreithwyr a gweithwyr proffesiynol eraill ym maes y gyfraith yw'r unig rai y caniateir iddynt fewngofnodi gyda chyfrif MyHMCTS. I gael rhagor o wybodaeth am MyHMCTS gweler y ddolen isod:"
"Sorry, no lists found for this court","Mae'n ddrwg gennym, nid ydym wedi dod o hyd i unrhyw restrau i'r llys hwn"
"South East","De Ddwyrain Lloegr"
"South West","De Orllewin Lloegr"
"SSCS Daily List - Additional Hearings","Rhestr Dyddiol SSCS - Gwrandawiadau Ychwanegol"
"Staff dashboard","Dangosfwrdd staff"
"Standard Court List for","Rhestr Safonol y Llys ar gyfer"
"Start Time","Amser Cychwyn"
"Start Time","Amser dechrau"
"Stores data within a form before it is submitted","Storio data o fewn ffurflen cyn iddi gael ei chyflwyno"
"Stores your language preferences","Storio eich dewisiadau iaith"
"Subscribe by case name","Tanysgrifio yn 'l enw'r achos"
"Subscribe by case reference number or case ID","Tanysgrifo gan ddefnyddio cyfeirnod yr achos neu rif adnabod yr achos"
"Subscribe by case reference number, case ID or URN","Tanysgrifio yn 'l cyfeirnod yr achos, ID yr achos neu URN"
"Subscribe by court or tribunal name","Tanysgrifio yn 'l enw'r llys neu dribiwnlys"
"Subscribe by name of party or parties involved","Tanysgrifo gan ddefnyddio enw'r parti neu'r part'on sydd yngl?n 'r achos"
"Subscribe by party name","Tanysgrifio yn 'l enw'r parti"
"Subscribe by unique reference number (URN)","Tanysgrifo gan ddefnyddio cyfeirnod unigryw (URN)"
"Subscribe to receive hearings list by court or tribunal","Tanysgrifio i dderbyn rhestr wrandawiadau yn 'l llys neu dribiwnlys"
"Subscription Case search","Chwilio am achos yn 'l tanysgrifiad"
"Subscription Case search results","Canlyniadau'r chwiliad yn 'l tanysgrifiad i restr achosion"
"Subscription confirmation","Cadarnhau tanysgrifiad"
"Subscription confirmed","Tanysgrifiad wedi'i gadarnhau"
"Subscription deleted","Tanysgrifiad wedi'i ddileu"
"Subscription removed","Dilewyd y tanysgrifiad"
"Subscription URN search","Chwilio tanysgrifiadau yn 'l y cyfeirnod unigryw"
"Subscription URN search results","Canlyniadau'r chwiliad tanysgrifiadau yn 'l URN"
"Subscription(s) removed","Tanysgrifiad wedi'i ddileu/Tanysgrifiadau wedi'u dileu"
"Subscriptions by case","Tanysgrifiadau yn 'l achos"
"Subscriptions by court or tribunal","Tanysgrifiadau yn 'l llys neu dribiwnlys"
"Success","Llwyddiant"
"Thanks for verifying your <email goes here> account!","Diolch am ddilysu eich cyfrif <email goes here>!"
"That code is expired. Please request a new code.","Mae'r cod hwnnw wedi dod i ben. Gofynnwch am god newydd."
"That code is incorrect. Please try again.","Mae'r cod yna'n anghywir. Rhowch gynnig arall arni."
"The cases below are warned for the hearing period of [xxx]to [xxx]","Rhybuddir yr achosion isod am gyfnod gwrando rhwng [xxx] a [xxx]"
"The code has been verified. You can now continue.","Mae'r cod wedi'i ddilysu. Nawr gallwch barhau."
"The following cases may be taken in any court","Gellir gwrando'r achosion canlynol mewn unrhyw lys"
"The following cases may be taken in any court
To be allocated:","Gellir gwrando yr achosion canlynol mewn unrhyw lys
I'w ddyrannu:"
"The password entry fields do not match. Please enter the same password in both fields and try again.","Nid yw'r hyn yr ydych wedi ei roi yn y ddau flwch yn cyfateb. Rhowch yr un cyfrinair yn y ddau flwch a rhoi cynnig arall arni."
"The prosecuting authority is the Crown Prosecution Service unless otherwise stated","Yr awdurdod erlyn yw Gwasanaeth Erlyn y Goron oni nodir yn wahanol."
"The undermentioned cases are warned for the hearing period of [Date] [Month] [Year]","Rhoir rhybudd yng nghyswllt yr achosion isod am gyfnod gwrandawiad o [Dyddiad] [Mis] [Blwyddyn]"
"The verification has failed, please try again.","Mae'r dilysu wedi methu, rhowch gynnig arall arni."
"There are no matching results.","Nid oes unrhyw ganlyniadau sy'n cyd-fynd 'r gofynion chwilio."
"There are no matching results. You can","Does yna ddim canlyniadau sy'n cyfateb. Gallwch"
"There is a problem","Mae yna broblem"
"There is a problem - Email address field cannot contain double spaces","Mae yna broblem - Ni ddylai'r hyn a roddir yn y blwch cyfeiriad e-bost gynnwys bylchiadau dwbl"
"There is a problem - Email address field cannot start with a space","Mae yna broblem - Ni allwch adael bwlch ar ddechrau'r hyn a roddir yn y blwch cyfeiriad e-bost"
"There is a problem - Email address field must be populated","Mae yna broblem - Rhaid rhoi cyfeiriad e-bost"
"There is a problem - Employer field cannot contain double spaces","Mae yna broblem - Ni ddylai'r hyn a roddir yn y blwch cyflogwr gynnwys bylchiadau dwbl"
"There is a problem - Employer field cannot start with a space","Mae yna broblem - Ni allwch adael bwlch ar ddechrau'r hyn a roddir yn y blwch cyflogwr"
"There is a problem - Enter an email address in the correct format, like'name@example.com","Mae yna broblem - Rhowch gyfeiriad e-bost yn y fformat cywir, er enghraifft enw@enghraifft.com"
"There is a problem - Full name field must be populated","Mae yna broblem - Rhaid rhoi enw llawn"
"There is a problem - Full name field must not contain double spaces","Mae yna broblem - Ni ddylai'r hyn a roddir yn y blwch enw llawn gynnwys bylchiadau dwbl"
"There is a problem - Full name field must not start with a space","Mae yna broblem - Ni allwch adael bwlch ar ddechrau'r hyn a roddir yn y blwch enw llawn"
"There is a problem - ID evidence must be a JPG, PDF or PNG","Mae yna broblem - Rhaid i'r dystiolaeth i brofi hunaniaeth fod ar ffurf JPG, PDF neu PNG."
"There is a problem - ID evidence needs to be less than 2Mbs","Mae yna broblem - Rhaid i'r dystiolaeth i brofi hunaniaeth fod yn llai na 2Mbs"
"There is a problem - We will need ID evidence to support your application for an account","Mae yna broblem - Bydd angen tystiolaeth adnabod arnom i gefnogi eich cais am gyfrif"
"There is a problem - You must check the box to confirm you agree to the terms and conditions","Mae yna broblem - Rhaid i chi wirio'r blwch i gadarnhau eich bod yn cytuno i'r telerau ac amodau"
"There is a problem - your employers name will be needed to support your application for an account","Mae yna broblem - bydd angen enw eich cyflogwr i gefnogi eich cais am gyfrif"
"There is a problem - Your full name will be needed to support your application for an account","Mae yna broblem - Bydd angen eich enw llawn i gefnogi eich cais am gyfrif"
"There is a problem [space] There is nothing matching your criteria","Mae yna broblem [bwlch] Does yna ddim yn cyfateb i'r meini prawf"
"There is nothing matching your criteria","Does yna ddim yn cyfateb i'r meini prawf"
"This has been for your security and for the security of the individuals included within our service","Gwnaed hyn i'ch diogelu chi ac i ddiogelu eraill sy'n defnyddio ein gwasanaeth"
"Time","Amser"
"Time Estimate","Amcangyfrif o'r amser"
"To be allocated","I'w neilltuo"
"To be allocated:","I'w ddyrannu:"
"To continue, you can go to","I barhau, gallwch fynd i'ch"
"To remain signed in, please click below","I atal hyn rhag digwydd, cliciwch isod"
"Town","Tref"
"Tribunal Hearing List","Rhestr Gwrandawiadau Tribiwnlys"
"Tribunal Type","Math o Dribiwnlys"
"Type of court or tribunal","Math o lys neu dribiwnlys"
"Unique reference number","Cyfeirnod unigryw"
"Unique reference number (URN)","Cyfeirnod unigryw (URN)"
"Unsubscribe","Terfynu tanysgrifiad"
"Unsubscribe from Subscription","Rhoi'r gorau i danysgrifio i restr"
"Upload a file","Llwytho ffeil"
"Uploade a clear photo of your UK Press Card or work ID","Llwytho llun clir o Gerdyn y Wasg neu gerdyn adnabod gwaith"
"URN not found, please try again or search under a Case Name or subscribe to a whole court.","Ni ellir dod o hyd i'r URN, rhowch gynnig arall arni neu chwiliwch dan Enw'r Achos neu danysgrifio i lys cyfan."
"Used to keep you signed in","Defnyddir i'ch cadw wedi'ch mewngofnodi"
"Venue","Lleoliad"
"Verification code","Cod dilysu"
"Verification is necessary. Please click Send button.","Rhaid dilysu. Cliciwch ar y botwm Anfon."
"Verify code","Dilysu'r cod"
"Verify your email address","Dilyswch eich cyfeiriad e-bost"
"Version","Fersiwn"
"View time, location. Type of hearings and more.","Gweld amser, lleoliad. Math o wrandawiad a mwy."
"Warned List","Rhestr Rybuddio"
"We use cookies to make Court and Tribunal Hearings work and collect information about how you use our service.","Rydym yn defnyddio cwcis i wneud Gwrandawiadau Llys a Thribiwnlys weithio'n iawn a chasglu gwybodaeth am sut rydych yn defnyddio ein gwasanaeth."
"We will only use this to confirm your identity for this service, and will delete upon approval or rejection of your request.","Dim ond i gadarnhau pwy ydych ar gyfer y gwasanaeth hwn y byddwn yn defnyddio hwn, a byddwn yn ei ddileu wedi i'ch cais gael ei gymeradwyo neu ei wrthod."
"We will only use this to confirm your identity for this service, and will delete upon approval or rejection of your request.","Dim ond i gadarnhau pwy ydych ar gyfer y gwasanaeth hwn y byddwn yn defnyddio hwn, a byddwn yn ei ddileu wedi i'ch cais gael ei gymeradwyo neu ei wrthod."
"We will retain the personal information you enter here to manage your user account and our service","Byddwn yn cadw'r wybodaeth bersonol a roir gennych yma i reoli eich cyfrif defnyddiwr a'n gwasanaethau"
"We'll email you if we need more information or to confirm that your account has been created.","Byddwn yn anfon e-bost atoch os bydd angen mwy o wybodaeth arnom neu i gadarnhau bod eich cyfrif wedi ei greu."
"We'll only use this to contact you about your account and this service","Dim ond i drafod eich cyfrif a'r gwasanaeth hwn y byddwn yn defnyddio hwn i gysylltu â chi"
"Welsh","Cymraeg"
"West Midlands","Canol Gorllewin Lloegr"
"What are Single Justice Procedure cases?","Beth yw achosion Gweithdrefn Un Ynad?"
"What happens next","Beth sy'n digwydd nesaf"
"What happens next","Beth fydd yn digwydd nesaf"
"What is the case reference number or case ID?","Beth yw cyfeirnod yr achos neu rif adnabod yr achos?"
"What is the name of party or parties involved?","Beth yw enw(au)'r parti neu bart'on sy'n rhan o'r achos?"
"What is the name of the case?","Beth yw enw'r achos?"
"What is the name of the party or parties involved?","Beth yw enw(au)'r parti neu bart'on sy'n rhan o'r achos?"
"What is the reference number?","Beth yw'r cyfeirnod?"
"What is the surname or organisation name of the party involved in the case?","Beth yw cyfenw neu enw sefydliadol y parti sy'n rhan o'r achos?"
"What is the unique reference number (URN)?","Beth yw'r cyfeirnod unigryw (URN)?"
"With a [account type] account","Gyda chyfrif [account name]"
"Yes","Ydw"
"Yorkshire","Swydd Efrog"
"You are about to remove the following publication:","Rydych ar fin dileu'r cyhoeddiad canlynol:"
"You can improve your results by double checking your spelling.","Gallwch wella eich canlyniadau trwy wirio eich sillafu eto."
"You can only search for information that is currently published.","Gallwch ond chwilio am wybodaeth sydd eisoes wedi'i chyhoeddi ."
"You currently have no subscriptions","Nid oes gennych unrhyw danysgrifiadau ar hyn o bryd"
"You currently have no subscriptions by case","Nid oes gennych unrhyw danysgrifiadau yn 'l achos"
"You currently have no subscriptions by court or tribunal","Nid oes gennych unrhyw danysgrifiadau yn 'l llys neu dribiwnlys"
"you do not have any active subscriptions","c"
"You have been signed out, due to inactivity","Rydych wedi cael eich allgofnodi o ganlyniad i wneud dim"
"You have exceeded maximum number of verification attempts.","Rydych chi wedi mynd heibio'r nifer o ymdrechion dilysu a ganiateir."
"You have successfully signed into your MyHMCTS account. Unfortunately, your account role does not allow you to access the verified user part of the Court and tribunal hearings service","Rydych wedi mewngofnodi'n llwyddiannus i'ch cyfrif MyHMCTS. Yn anffodus, nid yw r'l eich cyfrif yn galluogi ichi gael mynediad at y rhan o wasanaeth gwrandawiadau'r llysoedd a'r tribiwnlysoedd ar gyfer defnyddwyr sydd wedi eu dilysu."
"You must agree to the terms and conditions","Rhaid ichi gytuno 'r telerau a'r amodau"
"You must enter an exact match.","Rhaid i chi nodi cyfeirnod neu rif adnabod sy'n cyd-fynd yn berffaith ag achos."
"You will be able to sign in with a Common Platform account later this year.","Byddwch yn gallu mewngofnodi gyda chyfrif Platfform Cyffredin yn ddiweddarach eleni."
"You will soon be signed out, due to inactivity","Byddwch yn cael eich allgofnodi'n fuan, o ganlyniad i wneud dim"
"Your account","eich cyfrif"
"Your code is:","Eich cod yw:"
"Your credentials have not been changed. You can still sign-in using the button below and your existing credentials.","Nid yw eich manylion wedi eu newid. Gallwch fewngofnodi yr un fath gan ddefnyddio'r botwm isod a'ch manylion cyfredol."
"Your email subscriptions","Eich tanysgrifiadau e-bost"
"Your file has been removed","Mae eich ffeil wedi'i dileu"
"Your password must be 8-16 characters in length and contain 3 out of the 4 following: a lowercase character, uppercase character, a digit (0-9) or one or more of the following symbols @ # $ % ^ & * - _ + = [ ] { } | \ : ' , ? / ` ~ "" ( ) ; .","Rhaid i'ch cyfrinair gynnwys 8-16 symbol o ran hyd a chynnwys 3 allan o'r 4 canlynol: llythyren fach, priflythyren, rhif (0-9) neu un neu fwy o'r symbolau canlynol @ # $ % ^ & * - _ + = [ ] { } | \ : ' , ? / ` ~ "" ( ) ;."
"Your reference number","Eich cyfeirnod"
"Your selections","Eich dewisiadau"
"Your subscription has been removed.","Mae eich tanysgrifiad wedi'i ddileu."
"Your subscription has been successful.","Rydych wedi'ch tanysgrifio yn llwyddiannus."
"Your subscription(s) has been removed","Mae eich tanysgrifiad wedi'i ddileu/tanysgrifiadau wedi'u dileu"
"Your subscriptions","Eich tanysgrifiadau"
"You've made too many incorrect attempts. Please try again later.","Rydych chi wedi gormod o gynigion anghywir. Rhowch gynnig arall arni rywbryd eto."
"Tribunal Hearing List for Care Standards","Rhestr o Wrandawiadau'r Tribiwnlys ar gyfer Safonau Gofal"
"Tribunal Hearing List for Primary Health","Rhestr o Wrandawiadau'r Tribiwnlys ar gyfer Iechyd Sylfaenol"
"Sorry, we were not able to process your request

This could be because of the file format yu have selected, you should save your file using another file format and try again.

If the problem persists please contact the Courts and Tribunals Service centre on 0300 303 0656.","Mae'n ddrwg gennym, ond nid oeddem yn gallu prosesu eich cais

Gallai hyn fod oherwydd y fformat ffeil rydych wedi'i ddefnyddio. Dylech gadw eich ffeil gan ddefnyddio fformat ffeil arall a rhoi cynnig arall arni. 

Os bydd y broblem yn parhau, cysylltwch â Chanolfan Gwasanaethau'r Llysoedd a'r Tribiwnlysoedd drwy ffonio 0300 303 5172."
"No results found","Ni ddaethpwyd o hyd i unrhyw ganlyniad"
"Apply filters","Cadarnhau hidlwyr"
"You have attempted to view a page that you are not allowed to view based on your user type and the type of publication","Rydych wedi ceisio gweld tudalen nad ydych yn cael ei gweld oherwydd y math o ddefnyddiwr yr ydych neu natur y cyhoeddiad."
"Magistrates Public List for","Rhestr Gyhoeddus y Llys Ynadon ar gyfer"
"In accordance with the media protocol, additional documents from these cases are available to the members of the media on request. The link below takes you to the full protocol and further information in relation to what documentation can be [obtained Protocol on sharing court lists, registers and documents with the media]","Yn unol â phrotocol y cyfryngau, mae dogfennau ychwanegol o'r achosion hyn ar gael i aelodau o'r cyfryngau ar gais. Bydd y ddolen isod yn mynd â chi at y protocol llawn a gwybodaeth bellach ynghylch pa ddogfennau y gallwch ofyn amdanynt [Protocol ar rannu rhestrau'r llys a dogfennau gyda'r cyfryngau]"
"We have actively engaged with HMCTS Reform Programme to make sure that source systems produce accessible documents for publishing. We have asked services to add work to future enhancements to update the way they produce documents to make them fully accessible.","Rydym wedi cysylltu â thrafod yn rheolaidd gyda Rhaglen Ddiwygio GLlTEF i sicrhau bod systemau sylfaenol yn cynhyrchu dogfennau hygyrch ar gyfer eu cyhoeddi. Rydym wedi gofyn i wasanaethau wneud gwaith pellach wrth symud ymlaen i ddiweddaru'r ffordd y maent yn cynhyrchu dogfennau i'w gwneud yn gwbl hygyrch."
"This code will expire after 20 minutes","Bydd y cod hwn yn weithredol am 20 munud"
"If you do not get an email from us within 5 working days, call our courts and tribunals service centre on 0300 303 0656","Os na fyddwch yn cael e-bost gennym o fewn 5 diwrnod gwaith, ffoniwch ein canolfan gwasanaeth llysoedd a thribiwnlysoedd ar 0300 303 0656"
"Sorry, lists for [CourtName] are temporarily not available. Please contact the court/tribunal direct on [Telephone] or [Email] for more information.","Mae'n ddrwg gennym, nid yw'r rhestrau ar gyfer [CourtName] ar gael ar hyn o bryd. Cysylltwch 'r llys/tribiwnlys yn uniongyrchol ar [Telephone] neu [Email] am ragor o wybodaeth."
"Sorry, lists for [CourtName] are temporarily not available. Please contact the court/tribunal direct on [Telephone] for more information.","Mae'n ddrwg gennym, nid yw'r rhestrau ar gyfer [CourtName] ar gael ar hyn o bryd. Cysylltwch 'r llys/tribiwnlys yn uniongyrchol ar [Telephone] am ragor o wybodaeth."
"Sorry, lists for [CourtName] are temporarily not available. Please contact the court/tribunal direct on [Email] for more information.","Mae'n ddrwg gennym, nid yw'r rhestrau ar gyfer [CourtName] ar gael ar hyn o bryd. Cysylltwch 'r llys/tribiwnlys yn uniongyrchol ar [Email] am ragor o wybodaeth."
"Email subscriptions updated","Tanysgrifiadau e-bost wedi'u diweddaru"
"Are you sure you want to bulk unsubscribe the above selection","A ydych yn siŵr eich bod eisiau rhoi'r gorau i danysgrifio i'r detholiad uchod?"
"Total selected","Cyfanswm a ddetholwyd"
"List types updated","Mathau y rhestrau wedi'u diweddaru"
"Online Plea and Allocation Public List","Rhestr Gyhoeddus Pledio Ar-lein a Dyrannu"
"Online Plea and Allocation Cases for","Achosion Pledio Ar-lein a Dyrannu ar gyfer"
"Scheduled First Hearing","Gwrandawiad Cyntaf Wedi'i Drefnu"
